Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Argentina,ARG,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..,6028.341858983,6556.18842629137,6404.78074755966,6667.37793671732,6788.894266659,6690.31668409012,6439.98132750965,6673.54545502629,6240.07663944849,6561.70605229991,6716.19392830442,6182.54724275653,5625.77505992653,5790.65861395273,5818.81813625669,5337.07503894965,5725.41086662696,5706.39582013405,5593.23913226165,4808.42653263937,4779.63850049173,5454.26642102645,6175.81159005663,6457.38143127355,6735.87098179432,6407.99082536385,6703.3546571993,6990.54923546808,7145.60962554307,6686.89617546389,6602.29598237999,6172.25855323702,5069.78303973708,5615.88356159373,6147.0181758776,6712.10587831866,7290.42299957469,8086.79966472127,8478.01035496856,7887.87922534822,8751.99210641803,9504.98935060375,9348.74383658044,9445.1224691327,8990.54704919037,9095.44454839535,8810.68483325261,..
Argentina,ARG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10815.7151226019,12015.6271048557,13266.0528630404,13861.946177794,14481.1082032399,13893.5226589826,14485.5076845653,15479.3791285386,15894.5580528952,15186.130197286,14899.8700458711,14085.5751760246,12412.6059887095,13361.4000434323,14410.1505153775,15518.6785097698,16592.264892395,17900.7063421587,18436.8624668727,17168.3789365496,18712.0630773436,19629.3518451916,19224.8743997107,19482.190295091,18797.5479465897,19116.9079145132,18584.580004917,18933.9071474396
Argentina,ARG,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.2371482849121,41.7266387939453,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.56640625,76.6034927368164,78.9679336547852,79.4539337158203,79.3617935180664,79.1676635742188,79.3592987060547,78.9812316894531,79.1094207763672,79.2007827758789,80.3495864868164,82.4092864990234,83.9965286254883,85.2245483398438,87.3211669921875,88.1616973876953,88.2463607788086,88.5467910766602,..,..
Argentina,ARG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,115573868508.15,121847036500.547,120808873523.837,114396100733.294,125984766250.65,139300642138.499,138381639345.114,142798776600.374,149685248718.023,164174071297.927,169174227931.948,178746327507.296,181657062226.624,186764812014.466,197100011389.723,197044011131.933,193067167388.744,206454730042.606,197151622246.269,217305966255.665,226327993530.555,213450998966.355,202869851896.919,210731309048.029,215392208305.706,199051096781.772,214727922914.33,220976490720.555,215326332052.416,199185061978.086,194406693571.09,219037458045.206,245192227489.582,259675534967.549,274830720366.623,267011210297.951,281768091694.844,304622433397.251,316350941905.026,305641016669.195,303229512290.352,289860609223.184,258281789127.305,281106256200.528,306488951656.956,333618311350.415,360465082297.96,392934518437.813,408876787794.809,384677312577.801,423627422092.49,449061807872.401,444452545623.356,455143068397.581,443707073929.401,455825423287.839,447517812725.52,460334377833.471
Australia,AUS,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..,18105.6768720894,18131.7211460574,18925.7849873849,19912.0111904694,20051.3600503334,20597.8909912205,20616.3146069487,20786.9933934384,20786.9712097434,20905.7262144155,21570.5293474137,22248.57788767,22361.614421542,22168.9762259769,22894.0024823752,22991.9831701994,23271.4465826915,23310.8709754174,24670.485175487,25406.6801655534,25378.2070078387,24985.4640926491,24744.8458464029,25654.5495511743,26439.7891877308,26980.9982887957,28029.6772829241,28978.8833907567,29976.8277294962,30806.9467591999,31423.7688359538,32047.7965653126,33045.9884869599,33840.8932678061,35268.4586996545,35617.1412561639,36397.7837804745,37547.6622960101,38630.4027760352,40142.9782977966,39898.81567799,41559.6863929398,42931.1483038102,42507.1130607805,42214.6515736252,42184.2519070514,41780.0288790656,..
Australia,AUS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28658.3658903333,28185.7529003265,27969.0661165142,28815.4629795064,29646.4192650494,30412.0780548637,31179.3078735732,32055.3850594342,33174.9076526314,34443.8661779261,35377.729551754,35578.642071091,36553.9646143988,37183.6845735971,38225.6937136627,38928.0407567854,39445.1329184684,40680.1896301231,41331.5279733539,41266.8663842235,41464.0400696359,41894.1730524786,42754.4562863267,43118.0861274364,43547.1974836868,43923.2582693466,44493.4808943831,44648.7099113362
Australia,AUS,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.8878936767578,86.8643264770508,87.0217132568359,88.6771697998047,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93.819206237793,93.2758102416992,..
Australia,AUS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,199233335311.047,204185489129.557,206832708442.16,219685868796.259,235017138629.724,249079271685.863,255013563382.021,271085501763.945,284899661266.538,304968445514.788,326841338993.587,339927838396.432,353228164174.958,362460910647.293,377331193579.577,382426440333.903,392323430718.522,406436784541.459,410081589264.555,426663296230.325,439609141781.487,454282671927.023,469401741440.896,458980347967.632,480006879252.198,505203431376.55,525690112039.628,538860353331.047,569473298287.268,591498228010.372,612582484286.091,610208442396.41,612909321559.945,637665212484.226,663034939582.038,688424992380.96,715126459415.518,743491381828.941,777519044571.69,816535447394.947,848732984009.725,865139889945.946,899771632525.692,926636518197.177,963712223078.423,994457691605.883,1022642934821.49,1061271523267.56,1100090360276.03,1121242097879.43,1144260547872.81,1172307576320.87,1217933084117.14,1250080212993.17,1282061484148.13,1312204498894.69,1349304594617.26,1375718249724.1
Brazil,BRA,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9348.34906997063,..,..,..,..,..,..,..
Brazil,BRA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10344.8643896104,10319.9293352146,10099.7756199842,10398.160357612,10776.4331121153,11072.7252903522,11137.5892630004,11334.8207534073,11197.7019378884,11081.6546205381,11370.970939251,11368.466449571,11559.5605966069,11541.9750323446,12058.2077119511,12298.5879484653,12643.5650089807,13268.41390244,13802.8179924238,13649.8658402957,14537.5671930903,14973.0984736747,15119.9121381768,15432.8936308141,15374.2615071807,14702.5912680317,14077.1214085544,14103.4515313404
